"gid","tech","time","value"
"AL","Nuclear",2010,40.0500135936
"AL","Nuclear",2012,40.0500135936
"AL","Nuclear",2014,40.0500135936
"AL","Nuclear",2016,40.0500135936
"AL","Nuclear",2018,40.0500135936
"AL","Nuclear",2020,40.0500135936
"AL","Nuclear",2022,40.0500135936
"AL","Nuclear",2024,40.0500135936
"AL","Nuclear",2026,40.0500135936
"AL","Nuclear",2028,40.0500135936
"AL","Nuclear",2030,40.0500135936
"AL","Nuclear",2032,40.0500135936
"AL","Nuclear",2034,40.0500135936
"AL","Nuclear",2036,40.0500135936
"AL","Nuclear",2038,40.0500135936
"AL","Nuclear",2040,40.0500135936
"AL","Nuclear",2042,40.0500135936
"AL","Nuclear",2044,40.0500135936
"AL","Nuclear",2046,40.0500135936
"AL","Nuclear",2048,40.0500135936
"AL","Nuclear",2050,40.0500135936
"AL","Coal",2010,26.87868620988
"AL","Coal",2012,6.3672044633012
"AL","Coal",2014,17.2461531200944
"AL","Coal",2016,12.3551630983297
"AL","Coal",2018,11.3707650883516
"AL","Coal",2020,13.6897337278398
"AL","Coal",2022,13.7751275078034
"AL","Coal",2024,18.6450864593336
"AL","Coal",2026,24.2450128767033
"AL","Coal",2028,24.527152322238
"AL","Coal",2030,22.1673323002847
"AL","Coal",2032,17.0324960136812
"AL","Coal",2034,16.0836731462674
"AL","Coal",2036,17.2505416422611
"AL","Coal",2038,18.7944565307692
"AL","Coal",2040,18.655744856611
"AL","Coal",2042,18.6563736824322
"AL","Coal",2044,17.8574801283578
"AL","Coal",2046,16.8757657436915
"AL","Coal",2048,12.4179740299935
"AL","Coal",2050,8.17274918252106
"AL","Oil-Gas-Steam",2010,0
"AL","Oil-Gas-Steam",2012,0
"AL","Oil-Gas-Steam",2014,0
"AL","Oil-Gas-Steam",2016,0
"AL","Oil-Gas-Steam",2018,0
"AL","Oil-Gas-Steam",2020,0
"AL","Oil-Gas-Steam",2022,0
"AL","Oil-Gas-Steam",2024,0
"AL","Oil-Gas-Steam",2026,0
"AL","Oil-Gas-Steam",2028,0
"AL","Oil-Gas-Steam",2030,0
"AL","Oil-Gas-Steam",2032,0
"AL","Oil-Gas-Steam",2034,0
"AL","Oil-Gas-Steam",2036,0
"AL","Oil-Gas-Steam",2038,0
"AL","Oil-Gas-Steam",2040,0
"AL","Oil-Gas-Steam",2042,0
"AL","Oil-Gas-Steam",2044,0
"AL","Oil-Gas-Steam",2046,0
"AL","Oil-Gas-Steam",2048,0
"AL","Oil-Gas-Steam",2050,0
"AL","NG-CC",2010,72.1472822551477
"AL","NG-CC",2012,73.24004736
"AL","NG-CC",2014,63.2559912468711
"AL","NG-CC",2016,64.621477374043
"AL","NG-CC",2018,63.223606806095
"AL","NG-CC",2020,43.872965525678
"AL","NG-CC",2022,38.8131220251951
"AL","NG-CC",2024,39.6901348115443
"AL","NG-CC",2026,33.9472481432734
"AL","NG-CC",2028,25.4580954864831
"AL","NG-CC",2030,39.4196146161281
"AL","NG-CC",2032,47.5296029834665
"AL","NG-CC",2034,47.9730373277438
"AL","NG-CC",2036,52.0835343466452
"AL","NG-CC",2038,54.2557702174426
"AL","NG-CC",2040,56.6254907099206
"AL","NG-CC",2042,57.0839036865289
"AL","NG-CC",2044,56.7345279711577
"AL","NG-CC",2046,56.4477512303907
"AL","NG-CC",2048,58.5919352715355
"AL","NG-CC",2050,63.6550144474013
"AL","NG-CT",2010,0.157198737236046
"AL","NG-CT",2012,0.175354292118207
"AL","NG-CT",2014,0.113134980633228
"AL","NG-CT",2016,0.156719447776268
"AL","NG-CT",2018,0.157198737236046
"AL","NG-CT",2020,0.112718417236046
"AL","NG-CT",2022,0.157198737236046
"AL","NG-CT",2024,0.11654244031825
"AL","NG-CT",2026,0.155682756195212
"AL","NG-CT",2028,0.120249278812082
"AL","NG-CT",2030,0.112718417236046
"AL","NG-CT",2032,0.108620814589454
"AL","NG-CT",2034,0.0576369374116888
"AL","NG-CT",2036,0.173482366470116
"AL","NG-CT",2038,0.157243208490445
"AL","NG-CT",2040,0.283353355824106
"AL","NG-CT",2042,0.207509910078513
"AL","NG-CT",2044,0.868636745728907
"AL","NG-CT",2046,1.48954552122472
"AL","NG-CT",2048,2.23367671366082
"AL","NG-CT",2050,2.72500144028757
"AL","Hydro",2010,9.99004899596257
"AL","Hydro",2012,7.7944629603136
"AL","Hydro",2014,10.6033152131269
"AL","Hydro",2016,8.20178306666238
"AL","Hydro",2018,8.20178306666238
"AL","Hydro",2020,8.37612668616747
"AL","Hydro",2022,8.37612668616747
"AL","Hydro",2024,8.37612668616747
"AL","Hydro",2026,8.37612668616747
"AL","Hydro",2028,8.47163036084043
"AL","Hydro",2030,8.54537385419249
"AL","Hydro",2032,8.54537385419249
"AL","Hydro",2034,8.54537385419249
"AL","Hydro",2036,8.54537385419249
"AL","Hydro",2038,8.54537385419249
"AL","Hydro",2040,8.54537385419249
"AL","Hydro",2042,8.54537385419249
"AL","Hydro",2044,8.54537385419249
"AL","Hydro",2046,8.54537385419249
"AL","Hydro",2048,8.54537385419249
"AL","Hydro",2050,8.54537385419249
"AL","Imports",2010,0
"AL","Imports",2012,0
"AL","Imports",2014,0
"AL","Imports",2016,0
"AL","Imports",2018,0
"AL","Imports",2020,0
"AL","Imports",2022,0
"AL","Imports",2024,0
"AL","Imports",2026,0
"AL","Imports",2028,0
"AL","Imports",2030,0
"AL","Imports",2032,0
"AL","Imports",2034,0
"AL","Imports",2036,0
"AL","Imports",2038,0
"AL","Imports",2040,0
"AL","Imports",2042,0
"AL","Imports",2044,0
"AL","Imports",2046,0
"AL","Imports",2048,0
"AL","Imports",2050,0
"AL","Geothermal",2010,0
"AL","Geothermal",2012,0
"AL","Geothermal",2014,0
"AL","Geothermal",2016,0
"AL","Geothermal",2018,0
"AL","Geothermal",2020,0
"AL","Geothermal",2022,0
"AL","Geothermal",2024,0
"AL","Geothermal",2026,0
"AL","Geothermal",2028,0
"AL","Geothermal",2030,0
"AL","Geothermal",2032,0
"AL","Geothermal",2034,0
"AL","Geothermal",2036,0
"AL","Geothermal",2038,0
"AL","Geothermal",2040,0
"AL","Geothermal",2042,0
"AL","Geothermal",2044,0
"AL","Geothermal",2046,0
"AL","Geothermal",2048,0
"AL","Geothermal",2050,0
"AL","Biopower",2010,2.172456782496
"AL","Biopower",2012,1.95416575272538
