"gid","tech","time","value"
"AL","Nuclear",2010,40.0500135936
"AL","Nuclear",2012,40.0500135936
"AL","Nuclear",2014,40.0500135936
"AL","Nuclear",2016,40.0500135936
"AL","Nuclear",2018,40.0500135936
"AL","Nuclear",2020,40.0500135936
"AL","Nuclear",2022,40.0500135936
"AL","Nuclear",2024,40.0500135936
"AL","Nuclear",2026,40.0500135936
"AL","Nuclear",2028,40.0500135936
"AL","Nuclear",2030,40.0500135936
"AL","Nuclear",2032,40.0500135936
"AL","Nuclear",2034,40.0500135936
"AL","Nuclear",2036,40.0500135936
"AL","Nuclear",2038,40.0500135936
"AL","Nuclear",2040,40.0500135936
"AL","Nuclear",2042,40.0500135936
"AL","Nuclear",2044,40.0500135936
"AL","Nuclear",2046,40.0500135936
"AL","Nuclear",2048,40.0500135936
"AL","Nuclear",2050,40.0500135936
"AL","Coal",2010,26.8788287345133
"AL","Coal",2012,6.36727665596342
"AL","Coal",2014,17.2461478130371
"AL","Coal",2016,12.3551630983297
"AL","Coal",2018,11.3707268234733
"AL","Coal",2020,13.689802553537
"AL","Coal",2022,14.6544515316343
"AL","Coal",2024,20.0888189758013
"AL","Coal",2026,15.1763065593407
"AL","Coal",2028,13.063073456337
"AL","Coal",2030,10.7049648545055
"AL","Coal",2032,9.01083592434061
"AL","Coal",2034,3.85988932934391
"AL","Coal",2036,1.3315369592
"AL","Coal",2038,0.408037821555555
"AL","Coal",2040,0.111463487111111
"AL","Coal",2042,0.0262089755555555
"AL","Coal",2044,0.00596267066666684
"AL","Coal",2046,0
"AL","Coal",2048,0
"AL","Coal",2050,0
"AL","Oil-Gas-Steam",2010,0
"AL","Oil-Gas-Steam",2012,0
"AL","Oil-Gas-Steam",2014,0
"AL","Oil-Gas-Steam",2016,0
"AL","Oil-Gas-Steam",2018,0
"AL","Oil-Gas-Steam",2020,0
"AL","Oil-Gas-Steam",2022,0
"AL","Oil-Gas-Steam",2024,0
"AL","Oil-Gas-Steam",2026,0
"AL","Oil-Gas-Steam",2028,0
"AL","Oil-Gas-Steam",2030,0
"AL","Oil-Gas-Steam",2032,0
"AL","Oil-Gas-Steam",2034,0
"AL","Oil-Gas-Steam",2036,0
"AL","Oil-Gas-Steam",2038,0
"AL","Oil-Gas-Steam",2040,0
"AL","Oil-Gas-Steam",2042,0
"AL","Oil-Gas-Steam",2044,0
"AL","Oil-Gas-Steam",2046,0
"AL","Oil-Gas-Steam",2048,0
"AL","Oil-Gas-Steam",2050,0
"AL","NG-CC",2010,72.1454294512426
"AL","NG-CC",2012,73.24004736
"AL","NG-CC",2014,63.2564431146855
"AL","NG-CC",2016,64.6223157934056
"AL","NG-CC",2018,62.5330042635805
"AL","NG-CC",2020,45.3816489509669
"AL","NG-CC",2022,46.0419001834122
"AL","NG-CC",2024,43.6228845064217
"AL","NG-CC",2026,50.9951756509698
"AL","NG-CC",2028,51.8228418493999
"AL","NG-CC",2030,52.0744686565234
"AL","NG-CC",2032,56.4314118692413
"AL","NG-CC",2034,58.3208335333562
"AL","NG-CC",2036,64.6086371843164
"AL","NG-CC",2038,65.9334230985803
"AL","NG-CC",2040,68.6351835781629
"AL","NG-CC",2042,68.6483475170398
"AL","NG-CC",2044,67.9644507037908
"AL","NG-CC",2046,67.1683560304662
"AL","NG-CC",2048,63.3549547690977
"AL","NG-CC",2050,56.3355056939486
"AL","NG-CT",2010,0.157198737236046
"AL","NG-CT",2012,0.175354292118207
"AL","NG-CT",2014,0.113134980633228
"AL","NG-CT",2016,0.156719447776268
"AL","NG-CT",2018,0.157198737236046
"AL","NG-CT",2020,0.112718417236046
"AL","NG-CT",2022,0.157198737236046
"AL","NG-CT",2024,0.143021154913595
"AL","NG-CT",2026,0.156577937236046
"AL","NG-CT",2028,0.142485777236046
"AL","NG-CT",2030,0.112718417236046
"AL","NG-CT",2032,0.112718417236046
"AL","NG-CT",2034,0.148539864489832
"AL","NG-CT",2036,0.157249899031049
"AL","NG-CT",2038,0.837234952783889
"AL","NG-CT",2040,0.548213083893336
"AL","NG-CT",2042,0.806654315236878
"AL","NG-CT",2044,1.66722830627809
"AL","NG-CT",2046,1.93312638890024
"AL","NG-CT",2048,1.4281882085871
"AL","NG-CT",2050,0.350867036950491
"AL","Hydro",2010,9.99004899596257
"AL","Hydro",2012,7.7944629603136
"AL","Hydro",2014,10.6033152131269
"AL","Hydro",2016,8.20178306666238
"AL","Hydro",2018,8.20178306666238
"AL","Hydro",2020,8.37612668616747
"AL","Hydro",2022,8.37612668616747
"AL","Hydro",2024,8.37612668616747
"AL","Hydro",2026,8.37612668616747
"AL","Hydro",2028,8.54537385419249
"AL","Hydro",2030,8.61442601099456
"AL","Hydro",2032,8.61442601099456
"AL","Hydro",2034,8.61442601099456
"AL","Hydro",2036,8.61442601099456
"AL","Hydro",2038,8.61442601099456
"AL","Hydro",2040,8.61442601099456
"AL","Hydro",2042,8.61442601099456
"AL","Hydro",2044,8.6329897944178
"AL","Hydro",2046,8.66234006843743
"AL","Hydro",2048,8.68877795644098
"AL","Hydro",2050,8.68877795644097
"AL","Imports",2010,0
"AL","Imports",2012,0
"AL","Imports",2014,0
"AL","Imports",2016,0
"AL","Imports",2018,0
"AL","Imports",2020,0
"AL","Imports",2022,0
"AL","Imports",2024,0
"AL","Imports",2026,0
"AL","Imports",2028,0
"AL","Imports",2030,0
"AL","Imports",2032,0
"AL","Imports",2034,0
"AL","Imports",2036,0
"AL","Imports",2038,0
"AL","Imports",2040,0
"AL","Imports",2042,0
"AL","Imports",2044,0
"AL","Imports",2046,0
"AL","Imports",2048,0
"AL","Imports",2050,0
"AL","Geothermal",2010,0
"AL","Geothermal",2012,0
"AL","Geothermal",2014,0
"AL","Geothermal",2016,0
"AL","Geothermal",2018,0
"AL","Geothermal",2020,0
"AL","Geothermal",2022,0
"AL","Geothermal",2024,0
"AL","Geothermal",2026,0
"AL","Geothermal",2028,0
"AL","Geothermal",2030,0
"AL","Geothermal",2032,0
"AL","Geothermal",2034,0
"AL","Geothermal",2036,0
"AL","Geothermal",2038,0
"AL","Geothermal",2040,0
"AL","Geothermal",2042,0
"AL","Geothermal",2044,0
"AL","Geothermal",2046,0
"AL","Geothermal",2048,0
"AL","Geothermal",2050,0
"AL","Biopower",2010,2.172456782496
"AL","Biopower",2012,1.95415329212934
"AL","Biopower",2014,1.737749841696
