"gid","tech","time","value"
"AL","Nuclear",2010,40.0500135936
"AL","Nuclear",2012,40.0500135936
"AL","Nuclear",2014,40.0500135936
"AL","Nuclear",2016,40.0500135936
"AL","Nuclear",2018,40.0500135936
"AL","Nuclear",2020,40.0500135936
"AL","Nuclear",2022,40.0500135936
"AL","Nuclear",2024,40.0500135936
"AL","Nuclear",2026,40.0500135936
"AL","Nuclear",2028,40.0500135936
"AL","Nuclear",2030,40.0500135936
"AL","Nuclear",2032,40.0500135936
"AL","Nuclear",2034,40.0500135936
"AL","Nuclear",2036,40.0500135936
"AL","Nuclear",2038,40.0500135936
"AL","Nuclear",2040,40.0500135936
"AL","Nuclear",2042,40.0500135936
"AL","Nuclear",2044,40.0500135936
"AL","Nuclear",2046,40.0500135936
"AL","Nuclear",2048,40.0500135936
"AL","Nuclear",2050,40.0500135936
"AL","Coal",2010,26.8788109625105
"AL","Coal",2012,6.36742533953872
"AL","Coal",2014,17.2461741709602
"AL","Coal",2016,12.3551630671307
"AL","Coal",2018,11.3709523953486
"AL","Coal",2020,13.7459152889884
"AL","Coal",2022,13.6287524935582
"AL","Coal",2024,17.9009664645921
"AL","Coal",2026,22.3285393240344
"AL","Coal",2028,27.140148290963
"AL","Coal",2030,23.4636624887926
"AL","Coal",2032,19.8729622220086
"AL","Coal",2034,18.2075826017582
"AL","Coal",2036,18.5841165217582
"AL","Coal",2038,18.753565679448
"AL","Coal",2040,19.5894211014787
"AL","Coal",2042,21.2082749089495
"AL","Coal",2044,20.1882309234205
"AL","Coal",2046,18.5494544188996
"AL","Coal",2048,13.6537487518578
"AL","Coal",2050,8.05495970808401
"AL","Oil-Gas-Steam",2010,0
"AL","Oil-Gas-Steam",2012,0
"AL","Oil-Gas-Steam",2014,0
"AL","Oil-Gas-Steam",2016,0
"AL","Oil-Gas-Steam",2018,0
"AL","Oil-Gas-Steam",2020,0
"AL","Oil-Gas-Steam",2022,0
"AL","Oil-Gas-Steam",2024,0
"AL","Oil-Gas-Steam",2026,0
"AL","Oil-Gas-Steam",2028,0
"AL","Oil-Gas-Steam",2030,0
"AL","Oil-Gas-Steam",2032,0
"AL","Oil-Gas-Steam",2034,0
"AL","Oil-Gas-Steam",2036,0
"AL","Oil-Gas-Steam",2038,0
"AL","Oil-Gas-Steam",2040,0
"AL","Oil-Gas-Steam",2042,0
"AL","Oil-Gas-Steam",2044,0
"AL","Oil-Gas-Steam",2046,0
"AL","Oil-Gas-Steam",2048,0
"AL","Oil-Gas-Steam",2050,0
"AL","NG-CC",2010,72.1454094399397
"AL","NG-CC",2012,73.24004736
"AL","NG-CC",2014,63.2563298578785
"AL","NG-CC",2016,64.622428585013
"AL","NG-CC",2018,62.8235412998572
"AL","NG-CC",2020,43.8828582291256
"AL","NG-CC",2022,44.3663638716259
"AL","NG-CC",2024,43.7163307091828
"AL","NG-CC",2026,36.0703218492904
"AL","NG-CC",2028,32.7054860753325
"AL","NG-CC",2030,46.3325545115629
"AL","NG-CC",2032,57.0303937903898
"AL","NG-CC",2034,63.8458419272867
"AL","NG-CC",2036,66.6490952594609
"AL","NG-CC",2038,69.2290710581295
"AL","NG-CC",2040,71.2548960542258
"AL","NG-CC",2042,73.8104487806555
"AL","NG-CC",2044,72.5416375867198
"AL","NG-CC",2046,66.083435715336
"AL","NG-CC",2048,71.5068492632001
"AL","NG-CC",2050,74.7278844923491
"AL","NG-CT",2010,0.157198737236046
"AL","NG-CT",2012,0.175354292118207
"AL","NG-CT",2014,0.113134980633228
"AL","NG-CT",2016,0.156719447776268
"AL","NG-CT",2018,0.157198737236046
"AL","NG-CT",2020,0.112718417236046
"AL","NG-CT",2022,0.150601018157615
"AL","NG-CT",2024,0.14969641653672
"AL","NG-CT",2026,0.151601537965605
"AL","NG-CT",2028,0.142485777236046
"AL","NG-CT",2030,0.112718417236046
"AL","NG-CT",2032,0.112718417236046
"AL","NG-CT",2034,0.110789403005833
"AL","NG-CT",2036,0.26038581703571
"AL","NG-CT",2038,0.226092429135615
"AL","NG-CT",2040,0.22190741316118
"AL","NG-CT",2042,0.302381974324203
"AL","NG-CT",2044,0.31602764677468
"AL","NG-CT",2046,1.10011142726561
"AL","NG-CT",2048,1.50013024303681
"AL","NG-CT",2050,1.79547214047521
"AL","Hydro",2010,9.99004899596257
"AL","Hydro",2012,7.7944629603136
"AL","Hydro",2014,10.6033152131269
"AL","Hydro",2016,8.20178306666238
"AL","Hydro",2018,8.20178306666238
"AL","Hydro",2020,8.37612668616747
"AL","Hydro",2022,8.37612668616747
"AL","Hydro",2024,8.37612668616747
"AL","Hydro",2026,8.37612668616747
"AL","Hydro",2028,8.37612668616747
"AL","Hydro",2030,8.54537385419249
"AL","Hydro",2032,8.54537385419249
"AL","Hydro",2034,8.54537385419249
"AL","Hydro",2036,8.54537385419249
"AL","Hydro",2038,8.54537385419249
"AL","Hydro",2040,8.54537385419249
"AL","Hydro",2042,8.54537385419249
"AL","Hydro",2044,8.54537385419249
"AL","Hydro",2046,8.54537385419249
"AL","Hydro",2048,8.54537385419249
"AL","Hydro",2050,8.54537385419249
"AL","Imports",2010,0
"AL","Imports",2012,0
"AL","Imports",2014,0
"AL","Imports",2016,0
"AL","Imports",2018,0
"AL","Imports",2020,0
"AL","Imports",2022,0
"AL","Imports",2024,0
"AL","Imports",2026,0
"AL","Imports",2028,0
"AL","Imports",2030,0
"AL","Imports",2032,0
"AL","Imports",2034,0
"AL","Imports",2036,0
"AL","Imports",2038,0
"AL","Imports",2040,0
"AL","Imports",2042,0
"AL","Imports",2044,0
"AL","Imports",2046,0
"AL","Imports",2048,0
"AL","Imports",2050,0
"AL","Geothermal",2010,0
"AL","Geothermal",2012,0
"AL","Geothermal",2014,0
"AL","Geothermal",2016,0
"AL","Geothermal",2018,0
"AL","Geothermal",2020,0
"AL","Geothermal",2022,0
"AL","Geothermal",2024,0
"AL","Geothermal",2026,0
"AL","Geothermal",2028,0
"AL","Geothermal",2030,0
"AL","Geothermal",2032,0
"AL","Geothermal",2034,0
"AL","Geothermal",2036,0
"AL","Geothermal",2038,0
"AL","Geothermal",2040,0
"AL","Geothermal",2042,0
"AL","Geothermal",2044,0
"AL","Geothermal",2046,0
"AL","Geothermal",2048,0
"AL","Geothermal",2050,0
"AL","Biopower",2010,2.172456782496
"AL","Biopower",2012,1.95386185190344
