"gid","tech","time","value"
"AL","Nuclear",2010,40.0500135936
"AL","Nuclear",2012,40.0394329562469
"AL","Nuclear",2014,40.029707344409
"AL","Nuclear",2016,40.0206991949579
"AL","Nuclear",2018,40.0123056954937
"AL","Nuclear",2020,40.004457963393
"AL","Nuclear",2022,39.9970792287511
"AL","Nuclear",2024,39.9599922418875
"AL","Nuclear",2026,39.9445544266922
"AL","Nuclear",2028,39.9416846832959
"AL","Nuclear",2030,39.948422167031
"AL","Nuclear",2032,39.9643842334627
"AL","Nuclear",2034,39.958238692407
"AL","Nuclear",2036,39.9521058882756
"AL","Nuclear",2038,39.9459499361858
"AL","Nuclear",2040,39.9397441172268
"AL","Nuclear",2042,39.9334658782384
"AL","Nuclear",2044,39.9270998326294
"AL","Nuclear",2046,39.9206386817479
"AL","Nuclear",2048,39.9140803387068
"AL","Nuclear",2050,39.9074274987446
"AL","Coal",2010,26.8788284895963
"AL","Coal",2012,7.69362773019968
"AL","Coal",2014,19.0541598364622
"AL","Coal",2016,15.7195340925257
"AL","Coal",2018,14.5978028055364
"AL","Coal",2020,17.9107054845978
"AL","Coal",2022,19.2840882946443
"AL","Coal",2024,20.4620047746017
"AL","Coal",2026,19.691323571188
"AL","Coal",2028,19.6571424836285
"AL","Coal",2030,22.12445898565
"AL","Coal",2032,22.2914021451544
"AL","Coal",2034,23.4146738205192
"AL","Coal",2036,26.2290270475252
"AL","Coal",2038,27.0132997546305
"AL","Coal",2040,27.9331738952474
"AL","Coal",2042,29.7611953354154
"AL","Coal",2044,32.0815278193589
"AL","Coal",2046,28.9336923320384
"AL","Coal",2048,25.3355216600437
"AL","Coal",2050,19.5296731124821
"AL","Oil-Gas-Steam",2010,0
"AL","Oil-Gas-Steam",2012,0
"AL","Oil-Gas-Steam",2014,0
"AL","Oil-Gas-Steam",2016,0
"AL","Oil-Gas-Steam",2018,0
"AL","Oil-Gas-Steam",2020,0
"AL","Oil-Gas-Steam",2022,0
"AL","Oil-Gas-Steam",2024,0
"AL","Oil-Gas-Steam",2026,0
"AL","Oil-Gas-Steam",2028,0
"AL","Oil-Gas-Steam",2030,0
"AL","Oil-Gas-Steam",2032,0
"AL","Oil-Gas-Steam",2034,0
"AL","Oil-Gas-Steam",2036,0
"AL","Oil-Gas-Steam",2038,0
"AL","Oil-Gas-Steam",2040,0
"AL","Oil-Gas-Steam",2042,0
"AL","Oil-Gas-Steam",2044,0
"AL","Oil-Gas-Steam",2046,0
"AL","Oil-Gas-Steam",2048,0
"AL","Oil-Gas-Steam",2050,0
"AL","NG-CC",2010,72.145428179156
"AL","NG-CC",2012,73.2355461810384
"AL","NG-CC",2014,63.3590228317074
"AL","NG-CC",2016,69.7166737106411
